status,ipAddress,host,request,userAgent,countryCode,sizeBytes,durationSecs,timestamp
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET / HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,814,18.472,2026-09-18T09:14:09.000000Z
500,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"POST /api/auth/login HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,42,15016.245,2026-09-18T09:09:51.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /favicon.ico HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Safari",IN,814,5.409,2026-09-18T09:09:34.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /apple-touch-icon.png HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Safari",IN,1630,3.194,2026-09-18T09:09:34.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /apple-touch-icon-precomposed.png HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Safari",IN,1630,4.38,2026-09-18T09:09:34.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /assets/index-DW28L3eD.js HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,141892,6.212,2026-09-18T09:09:33.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /assets/index-B85RaMaB.css HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,9051,4.884,2026-09-18T09:09:33.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET / HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,814,6.577,2026-09-18T09:09:33.000000Z
200,193.203.184.115,operations.octagramai.com,"GET /?nocache=1789722519.9158 HTTP/1.1",GuzzleHttp/7,IN,772,532.246,2026-09-18T09:08:41.000000Z
500,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"POST /api/auth/login HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,41,4022.401,2026-09-18T08:13:18.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /apple-touch-icon.png HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Safari",IN,1630,3.625,2026-09-18T08:13:11.000000Z
